InstitutionCode,CollectionCode,CollectionName
iNaturalist,Observations,iNaturalist Research-grade Observations
ABS,ARTHARCH,Archbold Biological Station Arthropod Collection
TTRSNHM (25625),TTRSLEP (24626),Tall Timbers Research Station Natural History Museum
AMNH,PBI,Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop
MWK,MWKPC,Michael W Klein Personal Collection and Observations
MISSA,MEM,Mississippi Entomological Museum
USGS,PWRC,Native Bee Inventory and Monitoring Lab - World - Bees
USGS,PWRC-US-CA-MX,Native Bee Inventory and Monitoring Lab - US-CA-MX - Bees
UWYMED,ENT,University of Wyoming Dillon Lab Insect Collection
SSAC,SSAC,Salvatore S. Anzaldo Collection
SCAN,ARTSYS,SCAN Collection of Externally Processed Specimens (Arthropod Systematics Research)
UPR,MEBT-UPR,Museo de Entomología y Biodiversidad Tropical Collection - University of Puerto Rico
EKUY,,Branson Museum of Zoology - Arthropods
UND,UND-IC,University of North Dakota Insect Collection.
TAMU,SongLab,Orthoptera DNA Tissue Collection
BIG4,VSIC,Viktor Senderov Insect Collection
SI,NMNH,Smithsonian Institution - National Museum of Natural History
ASU,ASUCOB,Arizona State University Charles W. O'Brien Collection
USDA,ARS,Bee Biology and Systematics Laboratory
UCSB,IZC,University of California Santa Barbara Natural History Collection
UniSierra,UniSierra-Invertebrates,Colección de Invertebrados de la Universidad de la Sierra
PSUC,ENTO,Frost Entomological Museum
DCH,DCEC,The Davidson College Entomology Collection
BYU,OBSERV,Odonata records from the Brigham Young University Arthropod Museum
UCSC,RMIC,The Kenneth S. Norris Center for Natural History at University of California Santa Cruz
CSUEB,CSUEBNHM,California State University East Bay Natural History Museum
SCAN,,General Research Observations
MGU,LEMQ,Lyman Entomological Museum (LEMQ)
UMBC,QMOR,Ouellet-Robert entomological collection (QMOR)
UBC,UBCZ,University of British Columbia - Spencer Entomological Collection (UBCZ)
